position_id,side,product,currency,notional_ccy_mn,fx_to_try,balance_try_mn,rate_type,current_rate_pct,maturity_years,repricing_years,hqla_level,asf_factor,rsf_factor,liquidity_days,deposit_beta,data_classification
AUR-0020,asset,corporate_bonds,TRY,720.312129,1.000000,720.312129,fixed,34.885681,4.975260,4.975260,LEVEL_2A,0.000000,0.150000,7,0.000000,deterministic_synthetic_bank_position
AUR-0021,asset,retail_loans_fixed,TRY,2119.496482,1.000000,2119.496482,fixed,46.601039,2.213371,2.213371,NONE,0.000000,0.850000,90,0.000000,deterministic_synthetic_bank_position
AUR-0022,asset,retail_loans_fixed,TRY,309.724757,1.000000,309.724757,fixed,46.666683,2.114083,2.114083,NONE,0.000000,0.850000,90,0.000000,deterministic_synthetic_bank_position
AUR-0023,asset,retail_loans_fixed,TRY,1943.076806,1.000000,1943.076806,fixed,46.571531,2.045303,2.045303,NONE,0.000000,0.850000,90,0.000000,deterministic_synthetic_bank_position
AUR-0024,asset,retail_loans_fixed,TRY,1023.744033,1.000000,1023.744033,fixed,46.120894,1.223127,1.223127,NONE,0.000000,0.850000,90,0.000000,deterministic_synthetic_bank_position
AUR-0025,asset,retail_loans_fixed,TRY,4634.579222,1.000000,4634.579222,fixed,46.570949,3.519136,3.519136,NONE,0.000000,0.850000,90,0.000000,deterministic_synthetic_bank_position
AUR-0026,asset,retail_loans_fixed,TRY,2969.378700,1.000000,2969.378700,fixed,47.187942,3.681330,3.681330,NONE,0.000000,0.850000,90,0.000000,deterministic_synthetic_bank_position
AUR-0027,asset,retail_loans_floating,TRY,1581.532313,1.000000,1581.532313,floating,44.577738,3.806220,0.289864,NONE,0.000000,0.850000,90,0.000000,deterministic_synthetic_bank_position
AUR-0028,asset,retail_loans_floating,TRY,2078.552733,1.000000,2078.552733,floating,44.969262,2.103640,0.267759,NONE,0.000000,0.850000,90,0.000000,deterministic_synthetic_bank_position
AUR-0029,asset,retail_loans_floating,TRY,1585.123379,1.000000,1585.123379,floating,44.547459,3.358586,0.219448,NONE,0.000000,0.850000,90,0.000000,deterministic_synthetic_bank_position
AUR-0030,asset,retail_loans_floating,TRY,1678.492565,1.000000,1678.492565,floating,44.470825,1.857320,0.163315,NONE,0.000000,0.850000,90,0.000000,deterministic_synthetic_bank_position
AUR-0031,asset,retail_loans_floating,TRY,3687.788038,1.000000,3687.788038,floating,43.717614,2.587947,0.095036,NONE,0.000000,0.850000,90,0.000000,deterministic_synthetic_bank_position
AUR-0032,asset,retail_loans_floating,TRY,2388.510972,1.000000,2388.510972,floating,44.154830,1.512800,0.311457,NONE,0.000000,0.850000,90,0.000000,deterministic_synthetic_bank_position
AUR-0033,asset,mortgages,TRY,6232.229570,1.000000,6232.229570,fixed,37.039028,6.876291,6.876291,NONE,0.000000,0.850000,180,0.000000,deterministic_synthetic_bank_position
AUR-0034,asset,mortgages,TRY,1513.246414,1.000000,1513.246414,fixed,37.115823,8.916014,8.916014,NONE,0.000000,0.850000,180,0.000000,deterministic_synthetic_bank_position
AUR-0035,asset,mortgages,TRY,1229.696098,1.000000,1229.696098,fixed,36.732153,8.522554,8.522554,NONE,0.000000,0.850000,180,0.000000,deterministic_synthetic_bank_position
AUR-0036,asset,mortgages,TRY,1670.917721,1.000000,1670.917721,fixed,37.379870,4.010749,4.010749,NONE,0.000000,0.850000,180,0.000000,deterministic_synthetic_bank_position
AUR-0037,asset,mortgages,TRY,4024.829385,1.000000,4024.829385,fixed,37.466937,9.623429,9.623429,NONE,0.000000,0.850000,180,0.000000,deterministic_synthetic_bank_position
AUR-0038,asset,mortgages,TRY,3225.518405,1.000000,3225.518405,fixed,36.797570,7.652510,7.652510,NONE,0.000000,0.850000,180,0.000000,deterministic_synthetic_bank_position
AUR-0039,asset,mortgages,TRY,2163.986051,1.000000,2163.986051,fixed,36.701738,8.191318,8.191318,NONE,0.000000,0.850000,180,0.000000,deterministic_synthetic_bank_position
AUR-0040,asset,mortgages,TRY,1939.576356,1.000000,1939.576356,fixed,36.433387,4.630808,4.630808,NONE,0.000000,0.850000,180,0.000000,deterministic_synthetic_bank_position
AUR-0041,asset,sme_loans,TRY,1631.850593,1.000000,1631.850593,floating,44.837790,1.582276,0.447051,NONE,0.000000,0.850000,90,0.000000,deterministic_synthetic_bank_position
AUR-0042,asset,sme_loans,TRY,424.098844,1.000000,424.098844,floating,45.621513,1.159908,0.247146,NONE,0.000000,0.850000,90,0.000000,deterministic_synthetic_bank_position
AUR-0043,asset,sme_loans,TRY,4759.273133,1.000000,4759.273133,floating,44.892835,1.671913,0.219241,NONE,0.000000,0.850000,90,0.000000,deterministic_synthetic_bank_position
AUR-0044,asset,sme_loans,TRY,3609.534815,1.000000,3609.534815,floating,45.329964,1.203587,0.160586,NONE,0.000000,0.850000,90,0.000000,deterministic_synthetic_bank_position
AUR-0045,asset,sme_loans,TRY,8376.247143,1.000000,8376.247143,floating,45.270051,0.978836,0.221721,NONE,0.000000,0.850000,90,0.000000,deterministic_synthetic_bank_position
AUR-0046,asset,sme_loans,TRY,1504.015181,1.000000,1504.015181,floating,44.394952,3.954579,0.218426,NONE,0.000000,0.850000,90,0.000000,deterministic_synthetic_bank_position
AUR-0047,asset,sme_loans,TRY,3245.873024,1.000000,3245.873024,floating,45.273578,3.743375,0.215806,NONE,0.000000,0.850000,90,0.000000,deterministic_synthetic_bank_position
AUR-0048,asset,sme_loans,TRY,1449.107267,1.000000,1449.107267,floating,45.443508,1.266124,0.388147,NONE,0.000000,0.850000,90,0.000000,deterministic_synthetic_bank_position
AUR-0049,asset,corporate_loans_fixed,TRY,952.570714,1.000000,952.570714,fixed,41.792361,3.060101,3.060101,NONE,0.000000,0.850000,90,0.000000,deterministic_synthetic_bank_position
AUR-0050,asset,corporate_loans_fixed,TRY,2272.469657,1.000000,2272.469657,fixed,42.499206,4.929693,4.929693,NONE,0.000000,0.850000,90,0.000000,deterministic_synthetic_bank_position
AUR-0051,asset,corporate_loans_fixed,TRY,3230.215974,1.000000,3230.215974,fixed,41.555779,4.473732,4.473732,NONE,0.000000,0.850000,90,0.000000,deterministic_synthetic_bank_position
AUR-0052,asset,corporate_loans_fixed,TRY,3080.944534,1.000000,3080.944534,fixed,42.333167,3.886749,3.886749,NONE,0.000000,0.850000,90,0.000000,deterministic_synthetic_bank_position
AUR-0053,asset,corporate_loans_fixed,TRY,497.081276,1.000000,497.081276,fixed,41.584027,1.197814,1.197814,NONE,0.000000,0.850000,90,0.000000,deterministic_synthetic_bank_position
AUR-0054,asset,corporate_loans_fixed,TRY,3966.717845,1.000000,3966.717845,fixed,41.791110,3.808771,3.808771,NONE,0.000000,0.850000,90,0.000000,deterministic_synthetic_bank_position
AUR-0055,asset,corporate_loans_floating,TRY,4051.687942,1.000000,4051.687942,floating,40.951222,2.037620,0.327427,NONE,0.000000,0.850000,90,0.000000,deterministic_synthetic_bank_position
AUR-0056,asset,corporate_loans_floating,TRY,791.198100,1.000000,791.198100,floating,40.288033,1.391902,0.261626,NONE,0.000000,0.850000,90,0.000000,deterministic_synthetic_bank_position
AUR-0057,asset,corporate_loans_floating,TRY,711.371028,1.000000,711.371028,floating,41.109794,3.778367,0.480743,NONE,0.000000,0.850000,90,0.000000,deterministic_synthetic_bank_position
AUR-0058,asset,corporate_loans_floating,TRY,1332.032796,1.000000,1332.032796,floating,41.037943,3.484273,0.329455,NONE,0.000000,0.850000,90,0.000000,deterministic_synthetic_bank_position
AUR-0059,asset,corporate_loans_floating,TRY,1594.724418,1.000000,1594.724418,floating,40.731222,2.879019,0.407058,NONE,0.000000,0.850000,90,0.000000,deterministic_synthetic_bank_position
AUR-0060,asset,corporate_loans_floating,TRY,6518.985716,1.000000,6518.985716,floating,40.997447,1.743523,0.467816,NONE,0.000000,0.850000,90,0.000000,deterministic_synthetic_bank_position
AUR-0061,asset,cash_and_reserves,USD,8.230963,47.846700,393.824406,overnight,4.656829,0.077636,0.002740,LEVEL_1,0.000000,0.000000,1,0.000000,deterministic_synthetic_bank_position
AUR-0062,asset,cash_and_reserves,USD,51.959701,47.846700,2486.100245,overnight,4.612716,0.022252,0.002740,LEVEL_1,0.000000,0.000000,1,0.000000,deterministic_synthetic_bank_position
AUR-0063,asset,cash_and_reserves,USD,2.509585,47.846700,120.075349,overnight,4.020143,0.042414,0.002740,LEVEL_1,0.000000,0.000000,1,0.000000,deterministic_synthetic_bank_position
AUR-0064,asset,government_securities,USD,19.520951,47.846700,934.013064,fixed,5.262638,6.064774,6.064774,LEVEL_1,0.000000,0.050000,1,0.000000,deterministic_synthetic_bank_position
AUR-0065,asset,government_securities,USD,30.374243,47.846700,1453.307298,fixed,4.702544,1.325049,1.325049,LEVEL_1,0.000000,0.050000,1,0.000000,deterministic_synthetic_bank_position
AUR-0066,asset,government_securities,USD,22.349618,47.846700,1069.355484,fixed,5.072573,6.828868,6.828868,LEVEL_1,0.000000,0.050000,1,0.000000,deterministic_synthetic_bank_position
AUR-0067,asset,government_securities,USD,11.355520,47.846700,543.324154,fixed,4.911144,5.100360,5.100360,LEVEL_1,0.000000,0.050000,1,0.000000,deterministic_synthetic_bank_position
AUR-0068,asset,corporate_loans,USD,27.106347,47.846700,1296.949256,floating,7.672198,3.284556,0.393651,NONE,0.000000,0.850000,90,0.000000,deterministic_synthetic_bank_position
AUR-0069,asset,corporate_loans,USD,31.926645,47.846700,1527.584596,floating,8.887555,2.831116,0.481220,NONE,0.000000,0.850000,90,0.000000,deterministic_synthetic_bank_position
AUR-0070,asset,corporate_loans,USD,55.547433,47.846700,2657.761382,floating,8.159464,3.132234,0.483551,NONE,0.000000,0.850000,90,0.000000,deterministic_synthetic_bank_position
AUR-0071,asset,corporate_loans,USD,42.805900,47.846700,2048.121070,floating,8.913886,2.194280,0.319120,NONE,0.000000,0.850000,90,0.000000,deterministic_synthetic_bank_position
AUR-0072,asset,corporate_loans,USD,43.316379,47.846700,2072.545771,floating,8.653174,0.577103,0.275374,NONE,0.000000,0.850000,90,0.000000,deterministic_synthetic_bank_position
AUR-0073,asset,corporate_loans,USD,29.198209,47.846700,1397.037925,floating,8.731145,3.132652,0.367840,NONE,0.000000,0.850000,90,0.000000,deterministic_synthetic_bank_position
AUR-0074,asset,cash_and_reserves,EUR,11.298781,55.506100,627.151242,overnight,2.406660,0.072987,0.002740,LEVEL_1,0.000000,0.000000,1,0.000000,deterministic_synthetic_bank_position
AUR-0075,asset,cash_and_reserves,EUR,15.611536,55.506100,866.535489,overnight,2.577509,0.078229,0.002740,LEVEL_1,0.000000,0.000000,1,0.000000,deterministic_synthetic_bank_position
AUR-0076,asset,cash_and_reserves,EUR,9.121759,55.506100,506.313269,overnight,2.257670,0.059769,0.002740,LEVEL_1,0.000000,0.000000,1,0.000000,deterministic_synthetic_bank_position
AUR-0077,asset,government_securities,EUR,20.626181,55.506100,1144.878887,fixed,4.239371,6.918647,6.918647,LEVEL_1,0.000000,0.050000,1,0.000000,deterministic_synthetic_bank_position
AUR-0078,asset,government_securities,EUR,15.118474,55.506100,839.167517,fixed,3.458117,6.219259,6.219259,LEVEL_1,0.000000,0.050000,1,0.000000,deterministic_synthetic_bank_position
AUR-0079,asset,government_securities,EUR,2.918723,55.506100,162.006930,fixed,3.690014,2.908558,2.908558,LEVEL_1,0.000000,0.050000,1,0.000000,deterministic_synthetic_bank_position
AUR-0080,asset,government_securities,EUR,15.384735,55.506100,853.946666,fixed,3.679406,3.102259,3.102259,LEVEL_1,0.000000,0.050000,1,0.000000,deterministic_synthetic_bank_position
AUR-0081,asset,corporate_loans,EUR,20.007689,55.506100,1110.548767,floating,7.229974,1.930082,0.498532,NONE,0.000000,0.850000,90,0.000000,deterministic_synthetic_bank_position
AUR-0082,asset,corporate_loans,EUR,21.990622,55.506100,1220.613688,floating,7.035946,1.813244,0.249911,NONE,0.000000,0.850000,90,0.000000,deterministic_synthetic_bank_position
AUR-0083,asset,corporate_loans,EUR,64.759447,55.506100,3594.544328,floating,6.993530,0.735318,0.297430,NONE,0.000000,0.850000,90,0.000000,deterministic_synthetic_bank_position
AUR-0084,asset,corporate_loans,EUR,6.517156,55.506100,361.741907,floating,7.568042,1.764741,0.369917,NONE,0.000000,0.850000,90,0.000000,deterministic_synthetic_bank_position
AUR-0085,asset,corporate_loans,EUR,12.837351,55.506100,712.551310,floating,6.970150,1.738245,0.097923,NONE,0.000000,0.850000,90,0.000000,deterministic_synthetic_bank_position
AUR-0086,liability,demand_deposits,TRY,5187.051663,1.000000,5187.051663,non_maturity,18.211270,3.282704,0.374173,NONE,0.900000,0.000000,1,0.420000,deterministic_synthetic_bank_position
AUR-0087,liability,demand_deposits,TRY,3950.473954,1.000000,3950.473954,non_maturity,18.271725,4.163065,0.208395,NONE,0.900000,0.000000,1,0.420000,deterministic_synthetic_bank_position
AUR-0088,liability,demand_deposits,TRY,6357.318781,1.000000,6357.318781,non_maturity,18.375955,3.803026,0.657536,NONE,0.900000,0.000000,1,0.420000,deterministic_synthetic_bank_position
AUR-0089,liability,demand_deposits,TRY,906.552056,1.000000,906.552056,non_maturity,17.799801,2.465651,0.406497,NONE,0.900000,0.000000,1,0.420000,deterministic_synthetic_bank_position
AUR-0090,liability,demand_deposits,TRY,5550.789430,1.000000,5550.789430,non_maturity,17.866950,3.422748,0.281389,NONE,0.900000,0.000000,1,0.420000,deterministic_synthetic_bank_position
AUR-0091,liability,demand_deposits,TRY,2484.619448,1.000000,2484.619448,non_maturity,18.120555,4.922936,0.360155,NONE,0.900000,0.000000,1,0.420000,deterministic_synthetic_bank_position
AUR-0092,liability,demand_deposits,TRY,2509.356098,1.000000,2509.356098,non_maturity,17.647366,3.616411,0.542266,NONE,0.900000,0.000000,1,0.420000,deterministic_synthetic_bank_position
AUR-0093,liability,demand_deposits,TRY,2143.673465,1.000000,2143.673465,non_maturity,17.628368,4.839751,0.524379,NONE,0.900000,0.000000,1,0.420000,deterministic_synthetic_bank_position
AUR-0094,liability,demand_deposits,TRY,1496.990275,1.000000,1496.990275,non_maturity,18.019536,3.432518,0.219695,NONE,0.900000,0.000000,1,0.420000,deterministic_synthetic_bank_position
AUR-0095,liability,demand_deposits,TRY,4413.174830,1.000000,4413.174830,non_maturity,17.939794,3.557911,0.252821,NONE,0.900000,0.000000,1,0.420000,deterministic_synthetic_bank_position
AUR-0096,liability,term_deposits,TRY,1639.919133,1.000000,1639.919133,fixed,36.260202,0.740240,0.740240,NONE,0.900000,0.000000,30,0.000000,deterministic_synthetic_bank_position
AUR-0097,liability,term_deposits,TRY,3727.635531,1.000000,3727.635531,fixed,36.669246,0.189921,0.189921,NONE,0.900000,0.000000,30,0.000000,deterministic_synthetic_bank_position
AUR-0098,liability,term_deposits,TRY,5256.748147,1.000000,5256.748147,fixed,37.047708,0.179381,0.179381,NONE,0.900000,0.000000,30,0.000000,deterministic_synthetic_bank_position
AUR-0099,liability,term_deposits,TRY,6757.056700,1.000000,6757.056700,fixed,36.474477,0.239455,0.239455,NONE,0.900000,0.000000,30,0.000000,deterministic_synthetic_bank_position
AUR-0100,liability,term_deposits,TRY,1904.461384,1.000000,1904.461384,fixed,36.601440,0.561960,0.561960,NONE,0.900000,0.000000,30,0.000000,deterministic_synthetic_bank_position
AUR-0101,liability,term_deposits,TRY,1658.774023,1.000000,1658.774023,fixed,36.798338,0.842753,0.842753,NONE,0.900000,0.000000,30,0.000000,deterministic_synthetic_bank_position
AUR-0102,liability,term_deposits,TRY,1927.268246,1.000000,1927.268246,fixed,36.439862,0.159576,0.159576,NONE,0.900000,0.000000,30,0.000000,deterministic_synthetic_bank_position
AUR-0103,liability,term_deposits,TRY,4320.485062,1.000000,4320.485062,fixed,36.672915,0.457907,0.457907,NONE,0.900000,0.000000,30,0.000000,deterministic_synthetic_bank_position
AUR-0104,liability,term_deposits,TRY,7862.775792,1.000000,7862.775792,fixed,36.474463,0.722271,0.722271,NONE,0.900000,0.000000,30,0.000000,deterministic_synthetic_bank_position
AUR-0105,liability,term_deposits,TRY,6713.866407,1.000000,6713.866407,fixed,36.888747,0.082140,0.082140,NONE,0.900000,0.000000,30,0.000000,deterministic_synthetic_bank_position
AUR-0106,liability,term_deposits,TRY,5776.476919,1.000000,5776.476919,fixed,36.311312,0.222591,0.222591,NONE,0.900000,0.000000,30,0.000000,deterministic_synthetic_bank_position
AUR-0107,liability,term_deposits,TRY,9454.532656,1.000000,9454.532656,fixed,36.636644,0.198709,0.198709,NONE,0.900000,0.000000,30,0.000000,deterministic_synthetic_bank_position
AUR-0108,liability,interbank_funding,TRY,1264.625474,1.000000,1264.625474,floating,39.742447,0.480584,0.432645,NONE,0.500000,0.000000,7,0.000000,deterministic_synthetic_bank_position
AUR-0109,liability,interbank_funding,TRY,1164.655802,1.000000,1164.655802,floating,39.263368,0.484398,0.417268,NONE,0.500000,0.000000,7,0.000000,deterministic_synthetic_bank_position
AUR-0110,liability,interbank_funding,TRY,2914.638178,1.000000,2914.638178,floating,39.418414,0.197727,0.197727,NONE,0.500000,0.000000,7,0.000000,deterministic_synthetic_bank_position
AUR-0111,liability,interbank_funding,TRY,2868.624047,1.000000,2868.624047,floating,39.955050,0.189897,0.188727,NONE,0.500000,0.000000,7,0.000000,deterministic_synthetic_bank_position
AUR-0112,liability,interbank_funding,TRY,1787.456499,1.000000,1787.456499,floating,39.691472,0.612864,0.274071,NONE,0.500000,0.000000,7,0.000000,deterministic_synthetic_bank_position
AUR-0113,liability,repo_funding,TRY,401.870560,1.000000,401.870560,floating,39.288890,0.111871,0.111871,NONE,0.000000,0.000000,7,0.000000,deterministic_synthetic_bank_position
AUR-0114,liability,repo_funding,TRY,2446.587339,1.000000,2446.587339,floating,39.042246,0.111943,0.111943,NONE,0.000000,0.000000,7,0.000000,deterministic_synthetic_bank_position
AUR-0115,liability,repo_funding,TRY,4412.160563,1.000000,4412.160563,floating,38.396331,0.055576,0.055576,NONE,0.000000,0.000000,7,0.000000,deterministic_synthetic_bank_position
AUR-0116,liability,repo_funding,TRY,739.381538,1.000000,739.381538,floating,38.808858,0.179083,0.179083,NONE,0.000000,0.000000,7,0.000000,deterministic_synthetic_bank_position
AUR-0117,liability,issued_debt,TRY,792.984636,1.000000,792.984636,fixed,31.788368,5.811573,5.811573,NONE,1.000000,0.000000,180,0.000000,deterministic_synthetic_bank_position
AUR-0118,liability,issued_debt,TRY,701.445736,1.000000,701.445736,fixed,31.305156,3.556636,3.556636,NONE,1.000000,0.000000,180,0.000000,deterministic_synthetic_bank_position
AUR-0119,liability,issued_debt,TRY,2272.545453,1.000000,2272.545453,fixed,31.724409,1.501705,1.501705,NONE,1.000000,0.000000,180,0.000000,deterministic_synthetic_bank_position
AUR-0120,liability,issued_debt,TRY,5236.305360,1.000000,5236.305360,fixed,32.270612,4.502175,4.502175,NONE,1.000000,0.000000,180,0.000000,deterministic_synthetic_bank_position
AUR-0121,liability,issued_debt,TRY,996.718815,1.000000,996.718815,fixed,32.005255,1.212251,1.212251,NONE,1.000000,0.000000,180,0.000000,deterministic_synthetic_bank_position
AUR-0122,liability,demand_deposits,USD,58.961991,47.846700,2821.136691,non_maturity,1.139316,3.559379,0.405262,NONE,0.900000,0.000000,1,0.300000,deterministic_synthetic_bank_position
AUR-0123,liability,demand_deposits,USD,15.253677,47.846700,729.838115,non_maturity,0.860989,3.090404,0.502170,NONE,0.900000,0.000000,1,0.300000,deterministic_synthetic_bank_position
AUR-0124,liability,demand_deposits,USD,36.369726,47.846700,1740.171372,non_maturity,1.019136,2.008463,0.255339,NONE,0.900000,0.000000,1,0.300000,deterministic_synthetic_bank_position
AUR-0125,liability,demand_deposits,USD,20.750490,47.846700,992.842449,non_maturity,1.302399,3.736603,0.246648,NONE,0.900000,0.000000,1,0.300000,deterministic_synthetic_bank_position
AUR-0126,liability,demand_deposits,USD,35.864780,47.846700,1716.011373,non_maturity,1.051783,2.059715,0.311685,NONE,0.900000,0.000000,1,0.300000,deterministic_synthetic_bank_position
AUR-0127,liability,term_deposits,USD,58.025958,47.846700,2776.350582,fixed,3.537949,0.308134,0.308134,NONE,0.900000,0.000000,30,0.000000,deterministic_synthetic_bank_position
AUR-0128,liability,term_deposits,USD,27.997726,47.846700,1339.598786,fixed,3.356283,0.408840,0.408840,NONE,0.900000,0.000000,30,0.000000,deterministic_synthetic_bank_position
AUR-0129,liability,term_deposits,USD,41.225172,47.846700,1972.488443,fixed,3.540852,0.863347,0.863347,NONE,0.900000,0.000000,30,0.000000,deterministic_synthetic_bank_position
AUR-0130,liability,term_deposits,USD,20.739498,47.846700,992.316522,fixed,3.577884,0.101327,0.101327,NONE,0.900000,0.000000,30,0.000000,deterministic_synthetic_bank_position
AUR-0131,liability,term_deposits,USD,24.522105,47.846700,1173.301809,fixed,3.339086,0.782372,0.782372,NONE,0.900000,0.000000,30,0.000000,deterministic_synthetic_bank_position
AUR-0132,liability,term_deposits,USD,36.490371,47.846700,1745.943858,fixed,3.047591,0.808065,0.808065,NONE,0.900000,0.000000,30,0.000000,deterministic_synthetic_bank_position
AUR-0133,liability,wholesale_funding,USD,23.747378,47.846700,1136.233652,floating,5.431463,0.777186,0.225998,NONE,0.500000,0.000000,30,0.000000,deterministic_synthetic_bank_position
AUR-0134,liability,wholesale_funding,USD,44.729681,47.846700,2140.167645,floating,6.332699,1.858641,0.445336,NONE,0.500000,0.000000,30,0.000000,deterministic_synthetic_bank_position
AUR-0135,liability,wholesale_funding,USD,32.591125,47.846700,1559.377796,floating,5.937646,1.283690,0.113278,NONE,0.500000,0.000000,30,0.000000,deterministic_synthetic_bank_position
AUR-0136,liability,wholesale_funding,USD,24.332314,47.846700,1164.220907,floating,5.445704,1.918093,0.142092,NONE,0.500000,0.000000,30,0.000000,deterministic_synthetic_bank_position
AUR-0137,liability,demand_deposits,EUR,34.699522,55.506100,1926.035143,non_maturity,1.491181,3.349582,0.717660,NONE,0.900000,0.000000,1,0.280000,deterministic_synthetic_bank_position
AUR-0138,liability,demand_deposits,EUR,10.029320,55.506100,556.688447,non_maturity,1.437202,4.424300,0.445327,NONE,0.900000,0.000000,1,0.280000,deterministic_synthetic_bank_position
AUR-0139,liability,demand_deposits,EUR,11.027005,55.506100,612.066059,non_maturity,1.196862,3.667355,0.291922,NONE,0.900000,0.000000,1,0.280000,deterministic_synthetic_bank_position
AUR-0140,liability,demand_deposits,EUR,25.316323,55.506100,1405.210351,non_maturity,0.584448,4.296813,0.388791,NONE,0.900000,0.000000,1,0.280000,deterministic_synthetic_bank_position
AUR-0141,liability,term_deposits,EUR,54.655642,55.506100,3033.721517,fixed,2.173802,0.967393,0.967393,NONE,0.900000,0.000000,30,0.000000,deterministic_synthetic_bank_position
AUR-0142,liability,term_deposits,EUR,16.522715,55.506100,917.111452,fixed,2.541121,0.883151,0.883151,NONE,0.900000,0.000000,30,0.000000,deterministic_synthetic_bank_position
AUR-0143,liability,term_deposits,EUR,5.010673,55.506100,278.122897,fixed,2.630142,0.498290,0.498290,NONE,0.900000,0.000000,30,0.000000,deterministic_synthetic_bank_position
AUR-0144,liability,term_deposits,EUR,19.070589,55.506100,1058.534013,fixed,2.833401,0.139518,0.139518,NONE,0.900000,0.000000,30,0.000000,deterministic_synthetic_bank_position
AUR-0145,liability,term_deposits,EUR,12.836609,55.506100,712.510121,fixed,2.278265,0.394673,0.394673,NONE,0.900000,0.000000,30,0.000000,deterministic_synthetic_bank_position
AUR-0146,liability,wholesale_funding,EUR,26.204076,55.506100,1454.486053,floating,3.836958,1.734486,0.486250,NONE,0.500000,0.000000,30,0.000000,deterministic_synthetic_bank_position
AUR-0147,liability,wholesale_funding,EUR,11.288046,55.506100,626.555385,floating,5.286987,1.421576,0.316525,NONE,0.500000,0.000000,30,0.000000,deterministic_synthetic_bank_position
AUR-0148,liability,wholesale_funding,EUR,16.555992,55.506100,918.958562,floating,3.522389,0.623329,0.297880,NONE,0.500000,0.000000,30,0.000000,deterministic_synthetic_bank_position
